mass v1 v2 v3 v4 v5 v6 tag
mass tag
90.4397498222 m
1432.33616865 4me
107.412914935 m
90.3057943469 e
71.7863848002 m
1328.60739277 4me
737.177625475 4ee
1145.21008018 4mm
92.6902337975 e
90.6394156806 e
36.6864389739 m
1218.30175578 4me
1473.24307395 4mm
1596.75339546 4ee
73.1800800507 m
88.7501459913 e
98.1475957909 m
1574.74419393 4me
1521.81243088 4ee
91.5426536922 e
92.0600710186 m
1517.74175174 4me
24.0143262454 g
85.1992971633 m
217.558168802 m
90.2192181658 e
82.6294722077 m
1450.14901068 4me
1511.05412005 4ee
951.095647468 4mm
99.3306278119 e
87.9289538555 m
1547.18161342 4me
1237.66441352 4mm
1696.67026023 4ee
90.4489027557 e
86.1028070605 m
1476.20389539 4me
90.2362863174 e
89.6834314625 m
1445.57391705 4me
91.8268948834 e
90.8438056634 m
1488.14354605 4me
88.4921978172 e
62.3816815726 m
1349.39658136 4me
87.6756909362 e
91.7846319099 e
87.5801409956 m
1410.72062043 4me
1526.9628918 4ee
1529.12691963 4ee
1512.85455725 4ee
1440.27562789 4ee
1054.42508941 4mm
109.680820191 m
90.4391739326 e
86.7319243197 m
96.5954704805 e
88.7366404731 e
85.9212215148 m
1424.20337762 4me
25.1802524461 e
88.9604571236 m
974.442978513 4me
1583.72977006 4ee
98.8341428008 e
91.8338609377 m
1496.02004322 4me
94.0719655006 e
92.548611587 m
1453.43769934 4me
1520.25267564 4ee
90.6415033626 e
663.0256765 4mm
91.8463405497 e
88.2323851777 e
124.9168558 m
81.9243316693 m
85.3066908843 e
84.9959931677 m
1374.94456419 4me
90.9280332907 e
87.4320524903 m
1518.3302153 4me
91.874627012 e
73.0999152656 m
1198.57536645 4me
80.8717101366 e
91.2851475387 m
1557.55015313 4me
1542.31880225 4ee
91.1670062117 e
34.087605913 m
1133.49149853 4me
802.456800047 g
1366.24712567 4mm
1241.51544814 4mm
88.9568141412 e
85.2632190633 m
1039.42522776 4me
1508.59106543 4ee
97.1481847801 e
89.4554817515 m
1571.86662773 4me
76.692651123 m
91.8160379401 e
89.8842005815 m
1441.02219283 4me
1498.94596806 4ee
88.4435368602 e
90.6029024022 m
1469.94321188 4me
103.281089763 e
80.0790527513 e
0.460780295147 m
1439.51163387 4mm
90.9251022125 e
87.5497746804 m
1440.10556097 4me
1788.54380438 4mm
89.1432074998 e
104.386085122 m
1525.88803284 4me
1457.87836532 4ee
1502.239948 4ee
81.9284314486 m
63.5556455519 e
75.6372922094 m
1403.65900936 4me
27.576462824 e
92.6935439281 m
665.967740553 4me
1579.54237957 4ee
1493.14936161 4ee
1486.92153577 4ee
1515.39033467 4ee
91.5432891294 m
86.0095272377 m
78.6615089843 m
60.986315536 m
92.4212590002 e
91.0954196528 m
1488.49929514 4me
63.9100990073 e
102.389196202 m
1571.95309539 4me
1650.45316879 4ee
87.4591944025 e
81.8208523079 m
1186.75852713 4me
91.427082922 e
98.8605095357 m
1566.32607444 4me
1461.50494719 4mm
86.7027564033 e
100.395146488 m
1663.7234626 4me
27.7518999975 m
1310.12203767 4ee
92.0355178397 e
85.8965625517 m
1433.96535911 4me
1518.46539046 4ee
93.2059160097 e
96.6825336921 m
1562.4737605 4me
1474.12101697 4ee
92.1021555736 e
113.054350734 m
1568.51610509 4me
141.568857106 e
92.3232435517 m
88.4688695021 e
87.7597193067 e
1653.38376123 4ee
1575.90303459 4mm
242.919603476 e
17.4297917672 m
90.339319996 e
80.7347578471 m
1512.69072542 4me
82.8780366411 e
97.8564091948 m
1402.03048996 4me
90.7179036903 e
92.5641606789 m
1475.82628938 4me
1582.81539403 4ee
87.8696156924 g
124.770338995 e
99.8560183874 m
1340.46531089 4mm
1593.01958116 4mm
91.4413110035 e
1477.01495545 4mm
93.5169188287 m
104.161092426 m
96.8970115725 e
75.6801412956 m
1230.06194557 4me
91.9813437962 e
112.728583402 m
1615.36260318 4me
90.1749445225 e
88.4176303748 m
1468.6129403 4me
84.5924300754 e
109.01599903 m
1386.32148256 4me
90.2702039385 e
99.198744819 m
1626.71494878 4me
1567.20777154 4mm
1536.87098098 4ee
77.8303891895 m
1521.34072076 4ee
89.2200666932 e
99.1813371113 m
1683.51823233 4me
95.9151374968 m
89.2684300752 m
1037.70707055 4mm
1487.57347546 4ee
93.1726384866 e
83.3626788604 m
1444.35519229 4me
1352.79431668 4mm
92.5393139678 e
93.4413935016 e
109.662674651 m
1441.58841989 4me
92.7278910797 e
90.3034601566 m
1452.41281436 4me
1502.88648408 4mm
92.8866866019 e
90.0408619566 m
1568.00928518 4me
1433.35927423 4mm
86.4006019696 e
85.4378279083 m
1375.04662623 4me
90.3506967218 e
81.3477162772 m
1302.74231431 4me
80.3795179161 e
88.1843140549 m
1292.06441836 4me
77.8975545302 e
173.11162907 e
90.4520674215 m
1500.93260033 4ee
108.159661859 m
1029.68010836 4mm
1459.10376708 4ee
92.3724280332 e
91.7985382447 e
91.9325377655 m
1624.5220333 4me
96.4997362885 m
1691.27491669 4ee
1421.19605763 4ee
1838.37040292 4mm
1611.14601231 4ee
77.7238378868 e
95.5925231342 m
1295.60251505 4me
97.0600033527 m
51.3344280886 m
90.0167103516 e
97.5578623796 m
1349.71744917 4me
1099.68696503 4mm
1230.25835454 4ee
1327.57786386 4mm
92.8059202885 e
90.3979322129 m
1502.72200521 4me
98.3901407062 e
95.2567176671 m
1419.50367554 4me
95.1565725515 e
92.2196205721 m
1519.05995667 4me
1169.28113576 4ee
1507.704481 4ee
1822.84265366 e
1359.36721401 4mm
844.180338714 4ee
90.510609657 e
85.7715877374 m
1121.5600571 4me
1431.6315465 4ee
1258.46774857 4ee
100.187944715 m
1485.6410015 4mm
87.3174003318 m
100.464513869 e
1492.85457661 4ee
73.6719441474 m
1462.22366907 4mm
92.483054684 e
77.5615042917 m
1402.32704217 4me
1503.73838658 4ee
91.7892983643 e
92.8900272501 m
1741.98393758 4me
407.496512587 e
93.2183548917 e
90.1906746811 m
1249.58267128 4me
1292.1010578 4ee
1055.04405252 4ee
91.019409183 e
90.7940110034 m
1462.45827356 4me
89.6593564498 e
94.4059295888 m
1519.15215356 4me
1446.07579049 4mm
95.3910856005 e
84.7226494569 m
1391.74731445 4me
91.8582565371 e
91.9191436026 m
1592.08289552 4me
95.3552047101 m
1333.40682563 4mm
85.7565661876 e
93.8845655095 m
755.358167475 4me
90.8686600948 m
1218.87146584 4mm
1418.58930809 4mm
1634.34778496 4mm
74.9726394355 m
1668.3731795 4mm
90.6033824792 e
103.242056081 m
1600.44207896 4me
89.8264321467 e
92.5254668335 e
90.9388797871 m
1399.58785685 4me
1581.50051745 4mm
1350.7439712 4mm
89.496567261 e
99.4480400034 m
1509.21364298 4me
90.013065308 e
1.44928924724 m
90.734075834 e
98.4895765038 m
1544.79544763 4me
85.6015966135 m
1523.49319468 4ee
1522.78567972 4ee
89.6478057981 e
1475.39546077 4ee
180.590701044 e
84.4117977523 m
1231.66958393 4ee
27.8606474623 m
91.37231045 e
80.8074119746 m
1489.0498915 4me
1551.60271626 4ee
33.0999832556 e
92.4190192922 m
835.193669032 4me
1533.59619886 4ee
1493.2567077 4mm
1474.77791202 4ee
90.7211725078 e
106.242995296 m
1659.82712527 4me
91.3879088097 e
109.557304838 m
1791.49692608 4me
36.6103963258 e
87.9833702772 m
973.55898728 4me
81.0673845146 e
89.4428706325 m
1522.15283017 4me
85.5155263707 e
96.3977424415 m
1529.3605844 4me
1574.87567957 4mm
91.2962835158 e
192.983049715 m
1538.02813953 4ee
2171.24436811 4ee
1496.89817984 4ee
92.3419718973 e
90.0777033543 e
89.357029127 m
1455.73405734 4me
1140.48906144 4mm
1508.19568899 4ee
1446.7175119 4mm
1553.35214719 4ee
91.0870029408 e
92.4588140122 m
1372.48801683 4me
1548.31803001 4mm
1595.01012154 4mm
92.4286079204 e
91.9336781063 m
1588.1818095 4me
1532.73580024 4mm
1534.95977964 4ee
90.4225976998 e
82.0786040875 m
1440.18236463 4me
91.2404576881 e
43.10598249 m
1056.54883229 4me
96.370363283 e
88.9707602064 e
1873.79581468 4mm
86.051006755 m
1420.29888877 4ee
1858.74845681 4ee
91.1834080828 e
87.9812348232 m
1443.6580443 4me
1451.43550256 4ee
101.690960647 e
75.4311139908 m
1357.71070609 4me
1511.58154333 4mm
1513.62362025 4ee
1117.04602968 4mm
88.4374785383 e
86.1896770181 m
1430.32348422 4me
1468.24316612 4mm
93.3289983107 e
102.275461454 m
1427.4429269 4me
92.095867894 e
83.0967269312 m
1432.14514423 4me
91.3333543127 e
98.090990165 m
1620.98229395 4me
1639.20922794 4mm
88.0061683566 e
87.4771606141 m
1462.95107966 4me
1525.25235912 4mm
1059.8076058 4mm
92.3965382529 m
91.3356496607 e
97.4112065638 m
1558.27419776 4me
89.4826690281 e
94.777420716 m
1595.94287692 4me
1466.88331799 4ee
1506.22011741 4mm
83.4356835874 e
1472.20768125 4mm
86.3816631397 e
94.3350022056 m
1544.98881389 4me
91.9629973284 e
85.9691143657 m
1456.19846351 4me
1441.78508152 4mm
92.258524267 e
162.058057513 e
1466.5376226 4ee
1780.53290757 4mm
73.8326289758 m
95.2331251775 m
1413.36431901 4mm
776.798841477 4ee
1509.55762896 4mm
89.1360020206 e
98.3729656455 m
1447.57755923 4me
1707.17390038 4ee
93.0851299117 e
93.0983356082 m
1497.98809514 4me
70.5347062351 m
85.8972381327 m
1505.81421374 4ee
1510.33948738 4mm
1492.57309391 4ee
1482.5558588 4ee
1574.57588518 4ee
89.1963667229 e
89.4490495322 m
691.618662942 4me
1692.05290952 4mm
90.1035363064 e
96.0789796375 m
1399.45830936 4me
90.4384492794 e
42.763053362 m
877.608292991 4me
716.371603386 4mm
1270.51811081 4mm
1188.5354122 4ee
95.8363386223 m
88.9989299329 e
87.260021335 m
93.8550066659 e
79.8262351893 m
1398.35079878 4me
578.959994654 4ee
89.1471873312 e
95.0704455379 m
1525.89000818 4me
1490.61667189 4mm
93.5493365324 e
93.1050108471 m
1422.01927099 4me
1389.7971085 4ee
85.7463882505 m
1540.88932372 4ee
91.9462314078 e
16.602538003 m
527.77469803 4me
840.128300949 4mm
1496.28480641 4ee
90.3310531291 e
56.8102195025 m
1259.66064488 4me
1492.63429891 4ee
1647.63645605 4ee
848.228558725 4mm
118.669504692 e
88.9170725978 m
90.4939715613 e
88.7462377967 m
90.5706061745 e
114.039134786 m
1862.96355291 4me
1346.08623881 4mm
1440.75863684 4ee
24.2611974988 e
58.7440093677 m
618.389685084 4me
95.9333595008 m
89.9387623408 e
101.361931799 m
1514.52434637 4me
86.6421169797 e
85.5872566819 m
1698.10608191 4me
1459.76674279 4ee
1906.3768338 4mm
1192.25672623 4ee
65.9863770622 e
104.674669224 m
1567.6927234 4me
1382.58465598 4mm
726.111235713 4ee
91.5087834159 e
94.0056542136 m
1083.32427928 4mm
97.4706333963 e
87.9794064801 m
1812.24112199 4me
1540.05693013 4mm
1667.62762546 4mm
92.0581854098 e
91.0601206132 e
90.6483499808 m
1378.91391097 4me
101.904208454 e
89.4447411028 m
1569.15779684 4me
92.4133639125 e
90.4152006668 m
1479.89042781 4me
1458.4233619 4mm
152.939692398 e
141.611802858 m
1455.58989488 4ee
1259.63518595 4mm
1309.75485137 4ee
772.563799342 4mm
91.2470445458 e
89.5817272106 m
1433.26498918 4me
1481.54336373 4mm
1836.52676802 4mm
1484.61497755 4ee
1315.29075229 4ee
1265.4294579 4mm
91.3040623515 e
98.7986235535 m
1534.89860854 4me
93.5828446339 e
90.687898562 e
33.9300075151 m
1166.49649808 4me
82.0874398693 e
97.7199770301 m
1562.61334057 4me
93.3912015839 e
98.6934660878 m
1648.85035711 4me
88.1911245899 e
87.5207259585 m
1104.75049282 4me
1443.09734525 4ee
90.200948304 m
1493.17267421 4ee
1535.44006019 4ee
91.868461878 e
88.5033997286 m
1534.21521069 4me
18.3399639272 e
90.3308671243 m
861.873098447 4me
90.5060921025 e
90.8202498479 m
1509.21833857 4me
90.8451354975 e
72.2910977098 m
1569.44005719 4me
91.2364853919 e
15.3386249975 m
758.955350069 4me
90.4947287667 e
56.7982828074 m
1188.99423753 4me
91.6227989947 e
103.982005821 m
1473.10005353 4me
1478.19569693 4ee
1317.3857947 4mm
1485.28320392 4ee
1211.54172789 4mm
1475.98015403 4ee
24.356137611 m
90.8199424801 e
97.1624811091 m
1534.00512041 4me
86.2423740905 e
106.880533051 m
1584.5114326 4me
